Aiguille de Scolette;3506;1069;45°09'36";06°46'07";Alpsss 
Aiguilles d'Arves;3514;1433;45°07'38";06°20'13";Alpsss 
Arcalod;2217;1713;45°40'54";06°13'42";Alpsss 
Barre des Écrins;4102;2045;44°55'21";06°21'36";Alpsss 
Chamechaude;2082;1771;45°17'17";05°47'24";Alpsss 
Crêt de la Neige;1720;1267;46°16'49";05°57'16";Jura 
Dent de Cons;2062;1155;45°43'47";06°21'06";Alpsss 
Dent Parrachée;3697;1180;45°17'21";06°45'23";Alpsss 
Grand Ballon;1424;1072;47°54'04";07°05'53";Vosges 
Grand Pic de Belledonne;2978;1054;45°10'09";05°59'22";Alpsss 
Grande Casse;3855;1305;45°24'19";06°49'40";Alpsss 
Grande Tête de l'Obiou;2790;1542;44°46'32";05°50'23";Alpsss 
La Tournette;2351;1514;45°49'38";06°17'11";Alpsss 
Le Grand Veymont;2341;1165;44°52'12";05°31'36";Alpsss 
Le Môle;1863;1251;46°06'25";06°27'24";Alpsss 
Le Roc d'Enfer;2244;1081;46°11'23";06°36'43";Alpsss 
Le Roignais;2995;1028;45°38'35";06°41'20";Alpsss 
Le Tabor;2389;1022;44°58'39";05°51'21";Alpsss 
Le Taillefer;2857;1490;45°02'23";05°55'30";Alpsss 
Mont Blanc;4808;4695;45°49'57";06°51'52";Alpsss 
Mont Chaberton;3131;1281;44°57'53";06°45'06";Alpsss 
Mont Colombier;2045;1095;45°38'39";06°07'11";Alpsss 
Mont Lachat;2023;1064;45°55'38";06°21'04";Alpsss 
Mont Pourri;3779;1127;45°31'41";06°51'37";Alpsss 
Mont Ventoux;1909;1148;44°10'26";05°16'42";Alpsss 
Montagne de Céüse;2016;1040;44°30'32";05°57'43";Alpsss 
Pic Bayle;3465;1175;45°08'16";06°08'09";Alpsss 
Pic de Bure;2709;1268;44°37'38";05°56'07";Alpsss 
Pic de Rochebrune;3320;1019;44°49'21";06°47'16";Alpsss 
Pic du Midi d'Ossau;2886;1092;42°48'22";-00°25'05";Pyrenees 
Pica d'Estats;3143;1281;42°42'43";00°57'23";Pyrenees 
Pointe Percée;2750;1643;45°57'20";06°33'22";Alpsss 
Puig Carlitte;2921;1001;42°33'39";01°48'37";Pyrenees 
Puigmal;2909;1331;42°29'47";02°05'37";Pyrenees 
Puy de Sancy;1885;1575;45°31'42";02°48'51";Massif Central 
Soularac;2368;1007;42°45'58";01°51'05";Pyrenees 
Vignemale;3298;1025;42°42'16;-00°03'50";Pyrenees 